,Trip ID,Duration (min),Walking Time (min),Transit Time (min),Walking Distance (m),Transfers,Message
0,1248167,16.966666666666665,16.966666666666665,0.0,1315.1213007463846,0.0,Successful Run
1,1108571,22.15,18.5,3.6166666666666667,1400.7563308211847,0.0,Successful Run
2,1229641,91.46666666666667,91.46666666666667,0.0,7125.361511271594,0.0,Successful Run
3,1022430,65.91666666666667,65.91666666666667,0.0,5100.425187954592,0.0,Successful Run
4,1327145,169.93333333333334,148.9,21.0,11579.655218016474,0.0,Successful Run
5,862690,12.9,12.9,0.0,1004.1994360878238,0.0,Successful Run
6,986267,53.483333333333334,53.483333333333334,0.0,4097.895511255462,0.0,Successful Run
7,1209224,12.116666666666667,12.116666666666667,0.0,928.9565488699361,0.0,Successful Run
8,1425609,53.483333333333334,53.483333333333334,0.0,4097.895511255462,0.0,Successful Run
9,1167233,,,,,,No trip found.
10,1047334,,,,,,No trip found.
11,828747,,,,,,No trip found.
12,1564984,40.916666666666664,40.916666666666664,0.0,3148.1358872017536,0.0,Successful Run
13,1102890,80.28333333333333,8.033333333333333,61.21666666666667,613.0371729284855,2.0,Successful Run
14,1507105,65.91666666666667,65.91666666666667,0.0,5100.425187954592,0.0,Successful Run
15,1263896,118.21666666666667,118.21666666666667,0.0,9182.887631567573,0.0,Successful Run
16,1019166,76.11666666666666,70.08333333333333,6.0,5469.508962396821,0.0,Successful Run
17,1071097,149.36666666666667,141.78333333333333,7.55,11015.130744349672,0.0,Successful Run
18,1571432,52.88333333333333,52.88333333333333,0.0,4126.838345858583,0.0,Successful Run
19,1205643,43.45,43.45,0.0,3374.504789460267,0.0,Successful Run
20,1107087,147.76666666666668,125.26666666666667,22.466666666666665,9738.851872156287,0.0,Successful Run
21,1127458,36.75,36.75,0.0,2823.945526304156,0.0,Successful Run
22,1044931,60.7,60.7,0.0,4734.12486465372,0.0,Successful Run
23,998733,,,,,,No trip found.
24,1051215,53.416666666666664,53.416666666666664,0.0,4098.765060131854,0.0,Successful Run
25,1271677,54.65,54.65,0.0,4244.809661645593,0.0,Successful Run
26,966925,22.15,18.5,3.6166666666666667,1400.7563308211847,0.0,Successful Run
27,1558866,98.56666666666666,52.733333333333334,25.0,4093.3944060049553,1.0,Successful Run
28,932120,59.7,59.7,0.0,4636.458142844005,0.0,Successful Run
29,1060392,147.76666666666668,125.26666666666667,22.466666666666665,9738.851872156287,0.0,Successful Run
30,1444624,118.21666666666667,118.21666666666667,0.0,9182.887631567573,0.0,Successful Run
31,942577,51.61666666666667,51.61666666666667,0.0,3993.430766902554,0.0,Successful Run
32,1509365,133.18333333333334,114.46666666666667,18.683333333333334,8837.290060125402,0.0,Successful Run
33,1527627,88.05,88.05,0.0,6890.910195479744,0.0,Successful Run
34,1355638,12.9,12.9,0.0,1004.1994360878238,0.0,Successful Run
35,1205569,,,,,,No trip found.
36,1104605,103.66666666666667,103.66666666666667,0.0,8060.903120279834,0.0,Successful Run
37,1358624,91.46666666666667,91.46666666666667,0.0,7125.361511271594,0.0,Successful Run
38,1256389,84.75,84.75,0.0,6638.746052621221,0.0,Successful Run
39,1037526,85.43333333333334,85.43333333333334,0.0,6578.952210510689,0.0,Successful Run
40,1088119,,,,,,No trip found.
41,1074919,,,,,,No trip found.
42,905309,53.733333333333334,53.733333333333334,0.0,4147.453255632573,0.0,Successful Run
43,1390353,60.7,60.7,0.0,4717.782503749672,0.0,Successful Run
44,1523065,77.38333333333334,52.15,25.15,4000.9512330635644,2.0,Successful Run
45,888715,,,,,,No trip found.
46,1287286,124.46666666666667,124.46666666666667,0.0,9691.032578936674,0.0,Successful Run
47,1349298,64.66666666666667,64.66666666666667,0.0,4991.875142840777,0.0,Successful Run
48,1139372,12.9,12.9,0.0,1004.1994360878238,0.0,Successful Run
49,1121206,30.183333333333334,30.183333333333334,0.0,2336.35291728462,0.0,Successful Run
50,1495710,,,,,,No trip found.
51,1341951,64.66666666666667,64.66666666666667,0.0,4991.875142840777,0.0,Successful Run
52,1107088,147.76666666666668,125.26666666666667,22.466666666666665,9738.851872156287,0.0,Successful Run
53,1180180,41.68333333333333,41.68333333333333,0.0,3230.1918045008942,0.0,Successful Run
54,969376,26.15,26.15,0.0,2013.0106917187818,0.0,Successful Run
55,1385768,97.31666666666666,97.31666666666666,0.0,7511.638744349677,0.0,Successful Run
56,1254845,,,,,,No trip found.
57,1299596,75.48333333333333,75.48333333333333,0.0,5810.103571411512,0.0,Successful Run
58,1507108,65.91666666666667,65.91666666666667,0.0,5100.425187954592,0.0,Successful Run
59,964061,,,,,,No trip found.
60,939335,67.45,67.45,0.0,5219.0318872017515,0.0,Successful Run
61,939355,67.45,67.45,0.0,5219.0318872017515,0.0,Successful Run
62,1318400,111.53333333333333,111.53333333333333,0.0,8694.776699234259,0.0,Successful Run
63,1536983,68.4,66.1,2.2666666666666666,5150.687624050482,0.0,Successful Run
64,873258,111.81666666666666,111.81666666666666,0.0,8734.07418043428,0.0,Successful Run
65,1548153,47.85,47.85,0.0,3708.8232105155294,0.0,Successful Run
66,1024528,82.25,82.25,0.0,6379.962669151387,0.0,Successful Run
67,1215801,55.333333333333336,55.333333333333336,0.0,4277.945609006628,0.0,Successful Run
68,907462,16.45,16.45,0.0,1275.1531052585729,0.0,Successful Run
69,1312982,74.51666666666667,74.51666666666667,0.0,5823.049984948078,0.0,Successful Run
70,998180,147.76666666666668,125.26666666666667,22.466666666666665,9738.851872156287,0.0,Successful Run
71,1482536,16.966666666666665,16.966666666666665,0.0,1315.1213007463846,0.0,Successful Run
