,Trip ID,Duration (min),Walking Time (min),Transit Time (min),Walking Distance (m),Transfers,Message
136,1457806,,,,,,No trip found.
137,1362504,12.116666666666667,12.116666666666667,0.0,928.9565488699361,0.0,Successful Run
138,1390160,,,,,,No trip found.
139,1426837,26.466666666666665,26.466666666666665,0.0,2052.9761879658854,0.0,Successful Run
140,1265767,39.516666666666666,39.516666666666666,0.0,3097.5377443529096,0.0,Successful Run
141,1018661,,,,,,No trip found.
142,1263260,,,,,,No trip found.
143,838555,12.116666666666667,12.116666666666667,0.0,928.9565488699361,0.0,Successful Run
144,1444443,,,,,,No trip found.
145,1501180,259.55,70.98333333333333,150.73333333333332,5535.791496232583,4.0,Successful Run
146,957093,,,,,,No trip found.
147,1065050,,,,,,No trip found.
148,1268791,,,,,,No trip found.
149,982492,,,,,,No trip found.
150,1354953,51.6,39.9,11.666666666666666,3056.842586460208,0.0,Successful Run
151,1279629,26.466666666666665,26.466666666666665,0.0,2052.9761879658854,0.0,Successful Run
152,1365567,,,,,,No trip found.
153,1326724,,,,,,No trip found.
154,1384726,,,,,,No trip found.
155,949117,,,,,,No trip found.
156,1331117,16.966666666666665,16.966666666666665,0.0,1315.1213007463846,0.0,Successful Run
157,1522657,,,,,,No trip found.
158,1420905,29.983333333333334,29.983333333333334,0.0,2318.7328496147084,0.0,Successful Run
159,1267367,,,,,,No trip found.
160,1458131,,,,,,No trip found.
161,1470177,,,,,,No trip found.
162,1444515,39.766666666666666,39.766666666666666,0.0,3091.035661645596,0.0,Successful Run
163,1294280,32.88333333333333,32.88333333333333,0.0,2544.620984956145,0.0,Successful Run
164,1079154,,,,,,No trip found.
165,1497662,,,,,,No trip found.
166,1507943,70.71666666666667,57.81666666666667,12.866666666666667,4401.80139848142,0.0,Successful Run
167,867182,,,,,,No trip found.
168,1491824,,,,,,No trip found.
169,1329800,,,,,,No trip found.
170,1344689,,,,,,No trip found.
171,975363,,,,,,No trip found.
172,1060394,,,,,,No trip found.
173,1348621,423.45,59.666666666666664,163.86666666666667,4620.295578931827,1.0,Successful Run
174,1469023,,,,,,No trip found.
175,1294286,32.88333333333333,32.88333333333333,0.0,2544.620984956145,0.0,Successful Run
176,1538825,,,,,,No trip found.
177,1012717,,,,,,No trip found.
178,827249,,,,,,No trip found.
179,1464536,,,,,,No trip found.
180,1364103,,,,,,No trip found.
181,1580469,36.75,36.75,0.0,2823.945526304156,0.0,Successful Run
182,1257129,16.966666666666665,16.966666666666665,0.0,1315.1213007463846,0.0,Successful Run
183,970240,,,,,,No trip found.
184,1052415,,,,,,No trip found.
185,1354752,,,,,,No trip found.
186,1493478,60.416666666666664,56.38333333333333,4.0,4346.465781941567,0.0,Successful Run
187,1206961,,,,,,No trip found.
188,1111027,,,,,,No trip found.
189,992816,,,,,,No trip found.
190,1411731,,,,,,No trip found.
191,1215807,,,,,,No trip found.
192,1208386,,,,,,No trip found.
193,1312692,,,,,,No trip found.
194,956480,,,,,,No trip found.
195,1015048,,,,,,No trip found.
196,983210,12.116666666666667,12.116666666666667,0.0,928.9565488699361,0.0,Successful Run
197,1586311,,,,,,No trip found.
198,1256708,16.45,16.45,0.0,1275.1531052585729,0.0,Successful Run
199,1493386,,,,,,No trip found.
200,1489921,26.466666666666665,26.466666666666665,0.0,2052.9761879658854,0.0,Successful Run
201,1475005,,,,,,No trip found.
202,1253989,,,,,,No trip found.
203,1439892,16.966666666666665,16.966666666666665,0.0,1315.1213007463846,0.0,Successful Run
204,1334286,,,,,,No trip found.
205,1538831,,,,,,No trip found.
206,1076386,,,,,,No trip found.
207,1259762,,,,,,No trip found.
208,1304745,,,,,,No trip found.
209,1521187,57.6,51.9,5.666666666666667,3996.60883457408,0.0,Successful Run
210,978809,,,,,,No trip found.
211,1406520,,,,,,No trip found.
212,1469017,,,,,,No trip found.
213,1404761,,,,,,No trip found.
214,1482552,101.5,63.46666666666667,36.0,4891.522819535066,1.0,Successful Run
215,960275,,,,,,No trip found.
